Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
null;Application;null;null;10.176.144.14;null;Active;null;null;null;false;false
null;Application;null;null;10.178.2.34;null;Active;null;null;null;false;false
null;Application;null;null;10.138.128.78;null;Active;null;null;null;false;false
null;Application;null;null;10.177.247.137;null;Active;null;null;null;false;false
null;Application;null;null;10.176.206.173;null;Active;null;null;null;false;false
sabad10157;Application;Virtual;Web Server;10.238.14.157;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.15.130;null;Active;null;null;null;false;false
null;Application;null;null;10.238.126.28;null;Active;null;null;null;false;false
null;Application;null;null;10.238.217.122;null;Active;null;null;null;false;false
sabad10337;Application;Virtual;;10.238.14.28;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.197.45;null;Active;null;null;null;false;false
null;Application;null;null;10.238.141.193;null;Active;null;null;null;false;false
null;Application;null;null;10.238.127.109;null;Active;null;null;null;false;false
null;Application;null;null;10.238.15.243;null;Active;null;null;null;false;false
null;Application;null;null;10.238.197.48;null;Active;null;null;null;false;false
sabad10418;Application;Physical;Web Server;10.238.15.66;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.15.226;null;Active;null;null;null;false;false
null;Application;null;null;10.235.202.147;null;Active;null;null;null;false;false
null;Application;null;null;10.238.126.54;null;Active;null;null;null;false;false
null;Application;null;null;10.238.126.63;null;Active;null;null;null;false;false
null;Application;null;null;10.238.125.81;null;Active;null;null;null;false;false
null;Application;null;null;10.238.127.97;null;Active;null;null;null;false;false
sabad10508;Application;Virtual;Not applicable;10.238.125.161;Yes;Active;BAD1;CSC;linux;true;true
null;Infrastructure;null;null;10.238.127.80;null;Active;null;null;null;false;false
sabad10652;Application;Physical;Not applicable;10.238.142.152;Yes;Active;BAD1;CSC;linux;true;true
sabad10670;Application;Virtual;Not applicable;10.238.15.87;Yes;Active;BAD1;CSC;linux;true;true
sabad10724;Infrastructure;Physical;Not applicable;10.238.179.48;Yes;Active;BAD1;CSC;linux;true;false
null;Application;null;null;10.238.217.97;null;Active;null;null;null;false;false
null;Application;null;null;10.238.127.77;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.141.221;null;Active;null;null;null;false;false
null;Application;null;null;10.238.141.81;null;Active;null;null;null;false;false
null;Application;null;null;10.238.101.105;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.127.44;null;Active;null;null;null;false;false
null;Application;null;null;10.238.206.55;null;Active;null;null;null;false;false
null;Application;null;null;10.238.207.64;null;Active;null;null;null;false;false
sabad10940;Application;Virtual;Not applicable;10.235.202.113;Yes;Active;BAD1;CSC;linux;true;true
sabad11039;Application;Physical;Not applicable;10.238.41.42;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.126.88;null;Active;null;null;null;false;false
sabad11057;Application;Virtual;Not applicable;10.238.126.90;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.126.32;null;Active;null;null;null;false;false
sabad11075;Application;Physical;Not applicable;10.238.41.43;Yes;Active;BAD1;CSC;linux;true;true
sabad11084;Infrastructure;Virtual;Not applicable;10.238.196.84;Yes;Active;BAD1;CSC;linux;true;false
null;Application;null;null;10.238.196.129;null;Active;null;null;null;false;false
sabad11156;Application;Virtual;Not applicable;10.238.41.156;Yes;Active;BAD1;CSC;linux;true;true
null;Infrastructure;null;null;10.238.196.70;null;Active;null;null;null;false;false
sabad11174;Application;Virtual;Not applicable;10.238.196.174;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.196.87;null;Active;null;null;null;false;false
null;Application;null;null;10.238.196.197;null;Active;null;null;null;false;false
