Site code;Site name;Country code;Scenario today
KMT1;Komati (KMT1);ZA;ENERGY
KON1;Konstanz (KON1);DE;ENERGY
KOZ1;Kozyatagi (KOZ1);TR;ENERGY
KRK1;Krakow (KRK1);PL;ENERGY
KSC1;Kosice (KSC1);SK;ENERGY
KSD1;Karlstad (KSD1);SE;ENERGY
KSF1;Knutsford (KSF1);GB;ENERGY
KTW1;Katowice (KTW1);PL;ENERGY
KUL1;Kuala Lumpur (KUL1);MY;ENERGY
LAX1;L'Arbresle (LAX1);FR;STAY
LCR1;Le Creusot (LCR1);FR;SPLIT
LCV1;La Courneuve (LCV1);FR;MOVE AT
LDG1;Leonding (LDG1);AT;ENERGY
LDS1;Ludres (LDS1);FR;ENERGY
LED1;Saint Petersburg (LED1);RU;ENERGY
LED2;Saint Petersburg (Popova) (LED2);RU;ENERGY
LED3;Saint Petersburg (Obukhovskiy) (LED3);RU;STAY
LED4;Saint Petersburg (Polustrovskiy) (LED4);RU;ENERGY
LEH3;Lehrte-Ahlten (LEH3);DE;ENERGY
LEH4;Le Havre (Unit 4) (LEH4);FR;ENERGY
LEJ2;Leipzig (Eilenburger Str.) (LEJ2);DE;ENERGY
LEN1;Leon (LEN1);ES;STAY
LFE1;La Frenaye (LFE1);FR;ENERGY
LGA1;Landes de Couesme I (LGA1);FR;ENERGY
LHE1;Lahore (LHE1);PK;ENERGY
LIE1;Lier (LIE1);NO;ENERGY
LIM3;Lima (HQ) (LIM3);PE;TBD - To be defined
LIM5;Limache (LIM5);CL;STAY
LIS1;Lisboa (LIS1);PT;MOVE AT
LIS3;Lisboa (Av. Elias) (LIS3);PT;MOVE AT - New site
LIV1;Liverpool Lime Street (LIV1);GB;STAY
LIV2;Liverpool WCTC (LIV2);GB;STAY
LIX1;Flix (LIX1);ES;ENERGY
LKO1;Lucknow (LKO1);IN;ENERGY
LLE1;Lille (LLE1);FR;STAY
LLE2;Lille (Tenremonde) (LLE2);FR;STAY
LLE3;Grant-Thornton FR Lille (LLE3);FR;STAY
LMB1;Loma Blanca (LMB1);AR;ENERGY
LNG1;Langley (LNG1);CA;ENERGY
LOD1;Lodz (LOD1);PL;ENERGY
LOG1;Lostock (LOG1);GB;ENERGY
LON1;London (High Holborn) (LON1);GB;STAY
LON3;Euston TCP (LON3);GB;STAY
LON6;London Blackfriars (LON6);GB;STAY
LON8;London (Bressenden Place) (LON8);GB;TBD - To be defined
LOS1;Lagos (LOS1);NG;MOVE AT
LOZ1;Louveira (LOZ1);BR;TBD - To be defined
LPD1;La-Plaine-Saint-Denis (LPD1);FR;STAY
LPE1;La Prairie (LPE1);CA;ENERGY
LPE2;La Prairie (Grid Office) (LPE2);CA;ENERGY
LPG1;La Plata (LPG1);AR;STAY
LPP1;Muukko (LPP1);FI;ENERGY
LPP2;Lappenranta (LPP2);FI;ENERGY
LPT1;Levallois-Perret (LPT1);FR;TBD - To be defined
LRH1;Aytre (La Rochelle) (LRH1);FR;STAY
LSB1;Subansiri (LSB1);IN;ENERGY
LSG1;La Sagra (LSG1);ES;STAY
LSQ1;Lesquin (LSQ1);FR;ENERGY
LTH1;Linthal (LTH1);CH;ENERGY
LTO1;Littleton (CO) (LTO1);US;ENERGY
LTQ1;Los Teques (LTQ1);VE;STAY
LUL2;Ludwigslust (LUL2);DE;ENERGY
LUM1;Lumut (LUM1);MY;ENERGY
LUM2;Manjung (LUM2);MY;ENERGY
LUM3;Manjung 4 (LUM3);MY;ENERGY
LVT1;Sureste (LVT1);MX;ENERGY
MAA1;Chennai (MAA1);IN;TBD - To be defined
MAA2;Pallavaram (MAA2);IN;TBD - To be defined
MAA3;Padappai (MAA3);IN;ENERGY
MAA5;CSC Chennai (MAA5);IN;ENERGY
MAA6;Chennai (Expertus) (MAA6);IN;TBD - To be defined
MAA7;Chennai Metro (MAA7);IN;STAY
MAD1;Madrid Villergas (MAD1);ES;STAY
MAD2;Madrid Cerro Negro (MAD2);ES;STAY
MAD8;Madrid Fuencarral Alta Velocidad (MAD8);ES;STAY
MADn;Madrid (Nemo) (MADn);ES;STAY
MAI1;Maia (MAI1);PT;ENERGY
MAP1;Marchienne-au-Pont (MAP1);BE;ENERGY
MCS1;Los Pedreros (MCS1);ES;ENERGY
MCS2;Fuente-Alamo (MCS2);ES;ENERGY
MCT1;Muscat (MCT1);OM;ENERGY
MCU2;Rei Dos Ventos 1 and 3 (MCU2);BR;ENERGY
MEL1;Melbourne (MEL1);AU;SPLIT
MEL3;Melbourne (Boundary Road) (MEL3);AU;STAY
MEX1;Montes Urales (Mexico City) (MEX1);MX;MOVE AT
MEX3;Valle de Mexico (Mexico City) (MEX3);MX;STAY
MEX5;Eugenia (Mexico City) (MEX5);MX;STAY
MEX6;Constitucion (Mexico City) (MEX6);MX;STAY
MEX7;Tlahuac (Mexico City) (MEX7);MX;STAY
MEX8;Mexico (Lago Victoria) (MEX8);MX;TBD - To be defined
MEXa;Mexico (Torre Esmeralda) (MEXa);MX;MOVE AT - New site
MEXb;Mexico (El Rosario) (MEXb);MX;TBD - To be defined
MGL1;Moenchengladbach (MGL1);DE;ENERGY
MHG1;Mannheim (Boveristrasse) (MHG1);DE;TBD - To be defined
MHG2;Mannheim (GKM) (MHG2);DE;ENERGY
MIL1;Milano (MIL1);IT;ENERGY
MJP1;Malpica (MJP1);ES;ENERGY
MKC1;Kansas City (MO) (MKC1);US;ENERGY
MKT1;Makati (MKT1);PH;MOVE AT
MLM1;Cd Industrial (Morelia City) (MLM1);MX;TBD - To be defined
